,Unnamed: 0,MeasureTime,Angle_X_Lid_Tank101,Angle_Y_Lid_Tank101,AutoControl_Flow,AutoControl_Flow_manual,AutoControl_Level_Tank101_manual,AutoControl_Level_tank102,AutoControl_Level_tank102_manual,AutoControl_Pressure_Tank103,AutoControl_Pressure_Tank103_manual,Automatic_mode,Diagnosis_JN2200,Flow_FlowmeterB102,KQ1001_Level_B101,KQ1001_Level_B101_percent,KQ1001_Level_B102,KQ1001_Level_B102_percent,Level_Tank102,OUT1_JN2200,OUT2_JN2200,Pressure_Global_IO-Link,Pressure_Tank103,Selftest_running_JN2200,SetFlow,SetFlow_manual,SetPressureTank103,SetPressureTank103_manual,Set_Level_Tank101_manual,Set_PumpSpeed_P101,Set_level_tank102,Set_level_tank102_manual,Temperature_Tank101,Temperature_Tank102_IO-Link,V101_manual,V103_manual,V104_manual,V108_manual,V109_manual,V112_manual,V113_manual,V114_manual,V120_manual,Vibration_measurement_JN2200,set_valve_v106_open,set_valve_v106_open_manual,set_valve_y102_open,set_valve_y102_open_manual,filling_in_tank,Fault

0,0,2023-06-11 16:00:01,0.09,0.35,0,0,0,0,0,0,0,1,0,0.0,98.89264,24,98.89264,24,95.07211,0,0,2.06,197.68117,0,0,0,0,200,0,0.0,0,0,25.636574,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1,1,2023-06-11 16:00:02,0.04,0.35,0,0,0,0,0,0,1,1,0,0.34,98.89264,24,101.065994,25,95.07211,0,0,2.06,192.32465,0,0,0,0,200,0,80.46418,0,0,25.520832,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

2,2,2023-06-11 16:00:03,0.15,0.35,0,0,0,0,0,0,1,1,0,0.0,98.89264,24,101.065994,25,95.07211,0,0,2.06,201.25218,0,0,0,0,200,0,80.07481,0,0,25.520832,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

3,3,2023-06-11 16:00:04,0.09,0.35,0,0,0,0,0,0,1,1,0,0.0,98.89264,24,101.065994,25,95.07211,0,0,2.06,201.50725,0,0,0,0,200,0,79.78035,0,0,25.520832,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

4,4,2023-06-11 16:00:05,0.09,0.35,0,0,0,0,0,0,1,1,0,0.0,98.89264,24,98.89264,24,95.07211,0,0,2.06,198.70146,0,0,0,0,200,0,79.62825,0,0,25.520832,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

5,5,2023-06-11 16:00:06,0.09,0.4,0,0,0,0,0,0,1,1,0,0.0,98.89264,24,98.89264,24,95.07211,0,0,2.06,197.4261,0,0,0,0,200,0,79.58031,0,0,25.520832,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

6,6,2023-06-11 16:00:07,0.09,0.35,0,0,0,0,0,0,1,1,0,0.0,98.89264,24,101.065994,25,95.07211,0,0,2.06,198.44638,0,0,0,0,200,0,79.52543,0,0,25.520832,26.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

